T0,Bx0,By0,Bz0,T1,Bx1,By1,Bz1,T2,Bx2,By2,Bz2,T3,Bx3,By3,Bz3,T4,Bx4,By4,Bz4,X_force,Y_force,Z_force,indent_ID,X_location,Y_location,Z_location
20.862831115722656,-451.8000183105469,983.6000366210938,15.810667037963867,23.14159393310547,-368.4000244140625,2801.600341796875,-306.210693359375,23.738937377929688,1360.2000732421875,-1386.60009765625,473.997314453125,22.809734344482422,763.6000366210938,0.20000001788139343,-118.7413330078125,22.389381408691406,2571.000244140625,-809.6000366210938,-240.38665771484375,0.0007055268506519496,-0.0009569254470989108,0.0009444965398870409,0,4,0,10
20.88495635986328,-444.0,982.2000732421875,20.005332946777344,23.207963943481445,-363.60003662109375,2801.0,-298.7893371582031,23.650442123413086,1354.0001220703125,-1390.0,485.61334228515625,22.676990509033203,770.2000732421875,-5.600000381469727,-123.58132934570312,22.300884246826172,2570.000244140625,-813.2000732421875,-247.16265869140625,0.0006851115031167865,-0.0021665189415216446,0.003357388311997056,0,4,0,10
20.995574951171875,-453.2000427246094,982.2000732421875,14.842666625976562,23.274335861206055,-359.60003662109375,2806.0,-296.5306701660156,23.672565460205078,1356.800048828125,-1393.2000732421875,475.28802490234375,22.94247817993164,769.800048828125,-1.6000001430511475,-117.12800598144531,22.455753326416016,2574.60009765625,-812.2000732421875,-238.45066833496094,0.0017265032511204481,-0.0028228461742401123,0.008265757001936436,0,4,0,10
20.752212524414062,-444.0,980.800048828125,18.392000198364258,23.252212524414062,-371.2000427246094,2799.2001953125,-301.0480041503906,23.716814041137695,1362.2000732421875,-1389.0,485.2906494140625,22.765487670898438,766.2000732421875,6.40000057220459,-117.12800598144531,22.389381408691406,2571.80029296875,-809.2000732421875,-235.5466766357422,-0.0014696338912472129,-0.003434909740462899,0.004610139410942793,0,4,0,10
20.840707778930664,-451.60003662109375,978.6000366210938,21.618667602539062,23.119468688964844,-365.60003662109375,2799.2001953125,-305.24267578125,23.672565460205078,1355.400146484375,-1396.400146484375,483.031982421875,22.898229598999023,769.800048828125,2.6000001430511475,-122.93599700927734,22.27876091003418,2572.2001953125,-811.6000366210938,-237.16000366210938,0.0017364721279591322,-0.004085822496563196,0.008167282678186893,0,4,0,10
20.818584442138672,-454.8000183105469,981.0,19.360000610351562,23.185840606689453,-368.4000244140625,2801.80029296875,-306.5333251953125,23.738937377929688,1362.60009765625,-1394.0,470.1253356933594,22.87610626220703,763.800048828125,0.0,-121.0,22.323009490966797,2567.2001953125,-807.6000366210938,-238.45066833496094,0.0017750186379998922,-0.001445019617676735,0.004571001511067152,0,4,0,10
20.907079696655273,-452.60003662109375,979.2000732421875,25.813335418701172,23.14159393310547,-368.8000183105469,2802.400146484375,-304.9200134277344,23.672565460205078,1356.800048828125,-1391.0,484.0,22.898229598999023,767.2000732421875,-1.6000001430511475,-126.8080062866211,22.36725616455078,2573.000244140625,-813.800048828125,-233.2880096435547,0.001759412232786417,-0.0016002673655748367,0.004635162185877562,0,4,0,10
20.840707778930664,-448.60003662109375,981.6000366210938,20.650667190551758,23.16371726989746,-362.60003662109375,2802.400146484375,-306.85601806640625,23.805309295654297,1360.0001220703125,-1392.2000732421875,478.5146484375,22.831857681274414,762.800048828125,1.0,-114.2239990234375,22.5884952545166,2573.2001953125,-805.0,-245.54934692382812,0.0017603787127882242,-0.0015646405518054962,0.004671616014093161,0,4,0,10
20.907079696655273,-449.0,980.0,24.522666931152344,23.14159393310547,-369.4000244140625,2800.600341796875,-298.4666748046875,23.783185958862305,1356.400146484375,-1387.2000732421875,475.933349609375,22.85398292541504,768.6000366210938,-1.4000000953674316,-120.0320053100586,22.36725616455078,2571.400146484375,-805.4000854492188,-238.45066833496094,-0.001472059520892799,-0.0021446505561470985,0.005749743897467852,0,4,0,10
20.862831115722656,-451.4000244140625,980.800048828125,29.040000915527344,23.23008918762207,-370.0,2805.0,-299.4346923828125,23.783185958862305,1363.400146484375,-1390.0,467.2213134765625,22.831857681274414,768.0,0.8000000715255737,-119.70933532714844,22.455753326416016,2570.000244140625,-811.2000732421875,-243.29067993164062,0.0017448409926146269,-0.004114920273423195,0.005665072239935398,0,4,0,10
20.840707778930664,-448.2000427246094,978.800048828125,27.74933433532715,23.053096771240234,-368.60003662109375,2811.2001953125,-302.9840087890625,23.672565460205078,1358.2000732421875,-1392.400146484375,481.4186706542969,22.964601516723633,774.4000854492188,2.0,-114.86933898925781,22.34513282775879,2569.400146484375,-805.6000366210938,-245.8719940185547,0.001756254001520574,-0.001606722828000784,0.003387116128578782,0,4,0,10
